timestamp,temp_ar_C,umid_ar_pct,temp_solo_C,umid_solo_pct,radiacao_solar_Wm2,vento_ms,eto_penman_monteith_mm,irrigou,volume_irrigado_L_m2,dias_ultima_irrigacao,confianca_label
2023-07-01 00:00:00,26.1,55.22,23.4,35.4,4.7,0.55,0.0979,0,0.0,4,0.0
2023-07-01 00:30:00,26.41,58.47,23.86,35.37,2.34,1.64,0.0979,0,0.0,4,0.0
2023-07-01 01:00:00,25.99,57.51,22.71,35.07,6.11,2.35,0.0979,0,0.0,4,0.0
2023-07-01 01:30:00,26.39,59.02,24.25,35.42,0.0,1.99,0.0979,0,0.0,4,0.0
2023-07-01 02:00:00,26.25,54.75,22.92,34.48,3.25,3.24,0.0979,0,0.0,4,0.0
2023-07-01 02:30:00,26.67,57.04,23.76,34.92,4.36,2.72,0.0979,0,0.0,4,0.0
2023-07-01 03:00:00,27.17,51.63,24.04,35.23,0.0,1.86,0.0979,0,0.0,4,0.0
2023-07-01 03:30:00,26.08,54.21,23.14,34.48,2.93,3.21,0.0979,0,0.0,4,0.0
2023-07-01 04:00:00,27.93,53.77,24.42,34.46,0.0,1.58,0.0979,0,0.0,4,0.0
2023-07-01 04:30:00,27.86,55.28,24.74,34.03,2.28,1.84,0.0979,0,0.0,4,0.0
2023-07-01 05:00:00,28.43,51.0,25.44,34.56,2.4,2.95,0.0979,0,0.0,4,0.0
2023-07-01 05:30:00,27.51,47.04,23.98,35.21,0.0,2.9,0.0979,0,0.0,4,0.0
2023-07-01 06:00:00,28.7,52.55,25.33,34.56,0.0,2.93,0.0979,0,0.0,4,0.0
2023-07-01 06:30:00,29.38,49.08,26.39,35.22,66.92,3.86,0.0979,0,0.0,4,0.0
2023-07-01 07:00:00,29.75,44.54,26.38,35.91,198.83,1.48,0.0979,0,0.0,4,0.0
2023-07-01 07:30:00,31.46,41.63,27.61,33.89,259.95,3.57,0.0979,0,0.0,4,0.0
2023-07-01 08:00:00,30.91,41.38,27.89,34.79,311.96,1.53,0.0979,0,0.0,4,0.0
2023-07-01 08:30:00,32.03,44.0,29.18,35.13,429.48,1.27,0.0979,0,0.0,4,0.0
2023-07-01 09:00:00,33.25,39.38,30.37,35.13,411.5,4.04,0.0979,0,0.0,4,0.0
2023-07-01 09:30:00,34.71,37.9,31.56,34.43,546.7,2.11,0.0979,0,0.0,4,0.0
2023-07-01 10:00:00,34.96,37.62,32.21,33.99,745.82,2.17,0.0979,0,0.0,4,0.0
2023-07-01 10:30:00,34.26,39.49,31.48,34.31,512.52,2.68,0.0979,0,0.0,4,0.0
2023-07-01 11:00:00,36.22,41.48,32.88,33.62,708.6,1.77,0.0979,0,0.0,4,0.0
2023-07-01 11:30:00,34.55,32.84,31.51,33.93,871.69,4.34,0.0979,0,0.0,4,0.0
2023-07-01 12:00:00,35.12,40.53,31.72,33.8,776.76,1.13,0.0979,0,0.0,4,0.0
2023-07-01 12:30:00,35.15,38.51,32.21,34.24,696.05,2.4,0.0979,0,0.0,4,0.0
2023-07-01 13:00:00,34.25,32.52,31.73,33.86,550.91,1.39,0.0979,0,0.0,4,0.0
2023-07-01 13:30:00,34.4,35.73,31.46,34.84,534.94,2.13,0.0979,0,0.0,4,0.0
2023-07-01 14:00:00,33.19,39.94,30.06,34.15,626.7,4.23,0.0979,0,0.0,4,0.0
2023-07-01 14:30:00,34.17,37.55,31.2,34.26,580.92,3.67,0.0979,0,0.0,4,0.0
2023-07-01 15:00:00,32.21,39.53,28.75,33.54,564.93,2.53,0.0979,0,0.0,4,0.0
2023-07-01 15:30:00,33.26,43.04,29.34,34.56,433.55,1.91,0.0979,0,0.0,4,0.0
2023-07-01 16:00:00,32.14,45.38,28.91,34.29,337.08,1.64,0.0979,0,0.0,4,0.0
2023-07-01 16:30:00,30.58,44.23,28.17,34.03,309.12,3.83,0.0979,0,0.0,4,0.0
2023-07-01 17:00:00,31.86,45.84,28.06,33.98,145.0,1.25,0.0979,0,0.0,4,0.0
2023-07-01 17:30:00,29.86,44.15,25.94,33.33,99.03,3.26,0.0979,0,0.0,4,0.0
2023-07-01 18:00:00,28.81,50.93,26.14,33.3,4.15,0.51,0.0979,0,0.0,4,0.0
2023-07-01 18:30:00,28.97,50.53,26.05,34.28,5.45,3.83,0.0979,0,0.0,4,0.0
2023-07-01 19:00:00,28.19,49.9,24.96,32.88,0.0,1.61,0.0979,0,0.0,4,0.0
2023-07-01 19:30:00,28.0,50.28,25.19,33.26,0.0,0.67,0.0979,0,0.0,4,0.0
2023-07-01 20:00:00,26.77,52.38,23.94,32.76,0.0,2.83,0.0979,0,0.0,4,0.0
2023-07-01 20:30:00,27.73,54.22,25.17,34.5,1.92,2.37,0.0979,0,0.0,4,0.0
2023-07-01 21:00:00,26.83,56.48,24.27,32.63,0.0,2.83,0.0979,0,0.0,4,0.0
2023-07-01 21:30:00,25.29,53.34,22.11,33.56,0.0,4.44,0.0979,0,0.0,4,0.0
2023-07-01 22:00:00,26.07,56.42,23.15,34.65,3.1,2.16,0.0979,0,0.0,4,0.0
2023-07-01 22:30:00,26.28,62.03,23.31,33.53,2.9,2.44,0.0979,0,0.0,4,0.0
2023-07-01 23:00:00,25.51,60.07,22.94,32.36,1.83,2.21,0.0979,0,0.0,4,0.0
2023-07-01 23:30:00,25.74,52.3,22.14,31.75,6.82,3.4,0.0979,0,0.0,4,0.0
2023-07-02 00:00:00,25.57,65.67,22.75,33.37,0.0,2.97,0.0967,0,0.0,5,0.0
2023-07-02 00:30:00,26.32,56.27,23.68,33.07,8.14,1.53,0.0967,0,0.0,5,0.0
2023-07-02 01:00:00,26.84,56.81,24.42,32.9,0.66,2.76,0.0967,0,0.0,5,0.0
2023-07-02 01:30:00,26.4,53.1,23.65,32.25,0.0,3.65,0.0967,0,0.0,5,0.0
2023-07-02 02:00:00,25.8,58.08,22.73,33.39,0.0,2.34,0.0967,0,0.0,5,0.0
2023-07-02 02:30:00,26.75,58.42,23.87,32.5,10.18,2.41,0.0967,0,0.0,5,0.0
2023-07-02 03:00:00,26.03,53.4,23.0,32.9,1.67,2.55,0.0967,0,0.0,5,0.0
2023-07-02 03:30:00,26.68,56.92,23.76,33.04,0.0,2.43,0.0967,0,0.0,5,0.0
2023-07-02 04:00:00,26.53,58.42,24.02,32.37,0.0,2.86,0.0967,0,0.0,5,0.0
2023-07-02 04:30:00,28.18,59.46,24.71,33.0,0.0,2.74,0.0967,0,0.0,5,0.0
2023-07-02 05:00:00,29.21,47.52,25.7,33.1,0.0,1.98,0.0967,0,0.0,5,0.0
2023-07-02 05:30:00,28.16,55.28,24.91,31.96,0.0,3.04,0.0967,0,0.0,5,0.0
2023-07-02 06:00:00,29.22,47.3,26.31,34.24,3.57,2.74,0.0967,1,4.18,0,0.593
2023-07-02 06:30:00,29.84,46.59,27.03,33.22,96.0,4.11,0.0967,0,0.0,0,0.0
2023-07-02 07:00:00,30.26,45.67,27.19,34.46,221.3,4.55,0.0967,0,0.0,0,0.0
2023-07-02 07:30:00,30.16,45.16,27.0,34.73,258.94,2.82,0.0967,0,0.0,0,0.0
2023-07-02 08:00:00,31.7,37.83,28.7,34.22,396.75,2.98,0.0967,0,0.0,0,0.0
2023-07-02 08:30:00,32.12,37.33,29.46,34.67,442.38,2.33,0.0967,0,0.0,0,0.0
2023-07-02 09:00:00,32.83,38.49,29.64,33.62,443.14,2.25,0.0967,0,0.0,0,0.0
2023-07-02 09:30:00,32.27,35.62,28.9,34.25,586.45,3.55,0.0967,0,0.0,0,0.0
2023-07-02 10:00:00,33.96,39.36,30.96,33.89,570.49,0.94,0.0967,0,0.0,0,0.0
2023-07-02 10:30:00,35.12,29.71,31.52,34.18,754.82,1.38,0.0967,0,0.0,0,0.0
2023-07-02 11:00:00,34.58,36.75,31.64,34.33,512.62,3.69,0.0967,0,0.0,0,0.0
2023-07-02 11:30:00,35.93,37.08,32.78,34.26,803.94,4.29,0.0967,0,0.0,0,0.0
2023-07-02 12:00:00,35.28,36.74,32.78,34.66,703.12,2.58,0.0967,0,0.0,0,0.0
2023-07-02 12:30:00,35.66,36.3,33.2,34.66,651.76,1.2,0.0967,0,0.0,0,0.0
2023-07-02 13:00:00,35.23,35.95,32.33,33.66,628.28,1.25,0.0967,0,0.0,0,0.0
